1m 1e-4 5.00e+06 2.0 2 0.35 3.0 1.54e-02 34 1.10e-03 0.07 0.05 1.3
2m 1e-4 5.00e+06 3.0 2 0.35 3.0 1.69e-02 57 2.06e-03 0.55 0.09 1.4
3m 1e-4 5.00e+06 4.0 2 0.35 3.0 1.80e-02 78 2.35e-03 0.26 0.12 1.4
4m 1e-4 5.00e+06 5.0 2 0.35 3.0 1.80e-02 95 2.21e-03 0.28 0.11 1.4
5m 1e-4 2.00e+06 1.0 1 0.35 0.5 2.52e-02 65 2.16e-03 0.43 0.08 1.5
6d 2e-3 8.00e+04 50 1 0.35 3.0 2.71e-02 240 8.38e-03 0.83 0.01 1.1
7d 5e-5 1.50e+07 2.0 1 0.35 1.5 2.72e-02 128 3.89e-03 0.79 0.31 1.6
7m 5e-5 1.50e+07 2.0 1 0.35 1.5 2.51e-02 164 2.84e-03 0.20 0.22 1.6
8m 1e-4 2.00e+06 1.5 1 0.35 0.5 2.77e-02 83 3.08e-03 0.39 0.13 1.7
9d 3e-4 4.00e+05 3.0 1 0.35 0.5 2.94e-02 78 8.78e-03 0.85 0.28 1.5
10d 1e-4 7.64e+05 2.0 1 0.60 1.5 3.19e-02 44 2.89e-03 0.78 0.14 1.2
10m 1e-4 7.64e+05 2.0 1 0.60 1.5 3.12e-02 42 2.03e-03 0.35 0.11 1.2
11d 1e-4 2.78e+06 2.0 1 0.35 1.5 3.39e-02 104 5.72e-03 0.78 0.26 1.6
12d 3e-5 1.96e+07 2.0 1 0.35 2.0 3.39e-02 213 3.87e-03 0.68 0.32 2.1
12m 3e-5 1.96e+07 2.0 1 0.35 2.0 3.33e-02 207 3.02e-03 0.24 0.23 2.0
13d 1e-4 6.14e+06 2.0 1 0.60 1.0 3.41e-02 49 2.75e-03 0.68 0.12 1.2
13m 1e-4 6.14e+06 2.0 1 0.60 1.0 3.44e-02 49 2.32e-03 0.05 0.12 1.2
14m 1e-4 2.50e+06 1.5 1 0.35 0.5 3.51e-02 106 4.59e-03 0.49 0.19 2.0
15d 1e-4 4.01e+06 3.0 1 0.35 2.5 3.76e-02 144 6.74e-03 0.52 0.24 1.7
15m 1e-4 4.01e+06 3.0 1 0.35 2.5 4.51e-02 182 6.48e-03 0.47 0.23 1.7
16d 1e-4 5.00e+06 4.0 1 0.35 3.0 3.76e-02 182 6.64e-03 0.47 0.23 1.5
17d 1e-4 3.00e+06 2.0 1 0.35 0.5 3.90e-02 148 8.15e-03 0.75 0.37 2.3
18d 1e-4 3.01e+06 1.5 1 0.35 0.5 4.00e-02 112 7.83e-03 0.87 0.35 2.3
18m 1e-4 3.01e+06 1.5 1 0.35 0.5 4.32e-02 127 6.09e-03 0.39 0.23 2.3
19m 5e-5 2.52e+07 2.0 2 0.35 3.0 4.46e-02 176 4.62e-03 0.30 0.26 3.4
20d 1e-4 3.40e+06 1.0 1 0.35 1.0 4.71e-02 80 8.55e-03 0.86 0.37 2.4
20m 1e-4 3.40e+06 1.0 1 0.35 1.0 4.62e-02 97 5.93e-03 0.32 0.24 2.3
21d 3e-4 6.08e+05 3.0 1 0.35 1.0 4.86e-02 115 1.27e-02 0.64 0.31 1.9
22d 1e-4 3.40e+06 1.5 1 0.35 1.0 4.88e-02 124 8.76e-03 0.75 0.35 2.4
22m 1e-4 3.40e+06 1.5 1 0.35 1.0 4.78e-02 132 6.62e-03 0.39 0.25 2.3
23m 1e-4 1.00e+07 3.0 2 0.35 3.0 5.13e-02 203 6.26e-03 0.14 0.19 3.6
24d 1e-4 4.00e+06 2.0 1 0.35 1.5 5.30e-02 170 8.37e-03 0.69 0.33 2.6
25d 3e-4 1.00e+06 3.0 1 0.35 2.5 5.36e-02 226 1.17e-02 0.75 0.21 1.6
26m 1e-4 1.14e+07 2.0 1 0.60 2.0 5.38e-02 70 3.41e-03 0.24 0.14 1.4
27m 1e-4 1.00e+07 3.0 2 0.35 3.0 5.46e-02 205 6.24e-03 0.21 0.19 3.6
28d 3e-4 8.00e+05 3.0 1 0.35 0.5 6.06e-02 161 2.14e-02 0.76 0.41 2.5
29d 1e-4 5.00e+06 3.0 1 0.35 2.0 6.10e-02 270 1.00e-02 0.61 0.36 2.6
30m 1e-4 5.00e+06 1.0 1 0.35 1.7 6.50e-02 100 8.06e-03 0.5 0.26 2.6
31d 1e-4 5.00e+06 1.0 1 0.35 0.5 6.70e-02 126 1.41e-02 0.83 0.48 3.8
31m 1e-4 5.00e+06 1.0 1 0.35 0.5 7.10e-02 140 1.05e-02 0.45 0.34 3.8
32d 1e-4 5.00e+06 2.0 1 0.35 1.5 6.70e-02 220 1.16e-02 0.65 0.40 3.2
33d 1e-4 5.00e+06 3.0 1 0.35 1.7 6.70e-02 300 1.08e-02 0.63 0.37 2.9
34d 1e-4 5.00e+06 2.0 1 0.35 1.7 6.80e-02 200 1.07e-02 0.67 0.35 3.0
35d 3e-4 6.08e+05 3.0 1 0.35 1.5 6.99e-02 160 1.78e-02 0.59 0.34 2.3
36d 1e-4 8.00e+06 4.0 1 0.35 3.0 7.00e-02 380 1.41e-02 0.62 0.40 2.9
37d 3e-4 1.05e+06 3.0 1 0.35 2.0 7.21e-02 152 1.60e-02 0.67 0.31 2.1
